State,Name,Population,HHI,PovertyRate
1,Alabama,4817678,43511,18.46761033
2,Alaska,728300,71829,9.867636963
4,Arizona,6561516,49928,17.82071399
5,Arkansas,2947036,41264,18.6391683
6,California,38066920,61489,16.06445701
8,Colorado,5197580,59448,12.77250182
9,Connecticut,3592053,69899,10.1540818
10,Delaware,917060,60231,11.67873422
11,District of Columbia,633736,69235,17.25923728
12,Florida,19361792,47212,16.31697624
13,Georgia,9907756,49342,17.97973224
15,Hawaii,1392704,68201,11.03981894
16,Idaho,1599464,47334,15.29374841
17,Illinois,12868747,57166,14.06873567
18,Indiana,6542411,48737,15.03766731
19,Iowa,3078116,52716,12.14596851
20,Kansas,2882946,51872,13.39123244
21,Kentucky,4383272,43342,18.3394049
22,Louisiana,4601049,44991,19.00953456
23,Maine,1328535,48804,13.53957555
24,Maryland,5887776,74149,9.738532852
25,Massachusetts,6657291,67846,11.15745128
26,Michigan,9889024,49087,16.51645299
27,Minnesota,5383661,60828,11.25184145
28,Mississippi,2984345,39464,21.90517517
29,Missouri,6028076,47764,15.13403282
30,Montana,1006370,46766,14.91459404
31,Nebraska,1855617,52400,12.48975408
32,Nevada,2761584,52205,15.33822618
33,New Hampshire,1321069,65986,8.581989283
34,New Jersey,8874374,72062,10.53217951
35,New Mexico,2080085,44968,20.48550901
36,New York,19594330,58687,15.20093313
37,North Carolina,9750405,46693,17.11874532
38,North Dakota,704925,55579,11.47143313
39,Ohio,11560380,48849,15.48879881
40,Oklahoma,3818851,46235,16.37948168
41,Oregon,3900343,50521,16.37845697
42,Pennsylvania,12758729,53115,13.07228957
44,Rhode Island,1053252,56423,13.67156198
45,South Carolina,4727273,45033,17.77221244
46,South Dakota,834708,50338,13.71066289
47,Tennessee,6451365,44621,17.38149988
48,Texas,26092033,52576,17.24677414
49,Utah,2858111,59846,12.54961756
50,Vermont,626358,54447,11.50204835
51,Virginia,8185131,64792,11.16948525
53,Washington,6899123,60294,13.28232588
54,West Virginia,1853881,41576,17.59686841
55,Wisconsin,5724692,52738,12.90125303
56,Wyoming,575251,58252,11.34652526
72,Puerto Rico,3638965,19686,44.81947477
